"country","humanDevelopmentIndex","pop2021"
"Tuvalu","0","11.9310"
"Somalia","0","16359.5040"
"Niger","0.3540","25130.8170"
"Central African Republic","0.3670","4919.9810"
"South Sudan","0.3880","11381.3780"
"Chad","0.4040","16914.9850"
"Burundi","0.4170","12255.4330"
"Sierra Leone","0.4190","8141.3430"
"Burkina Faso","0.4230","21497.0960"
"Mali","0.4270","20855.7350"
"Liberia","0.4350","5180.2030"
"Mozambique","0.4370","32163.0470"
"Eritrea","0.4400","3601.4670"
"Yemen","0.4520","30490.6400"
"Guinea-Bissau","0.4550","2015.4940"
"DR Congo","0.4570","92377.9930"
"Guinea","0.4590","13497.2440"
"Gambia","0.4600","2486.9450"
"Ethiopia","0.4630","117876.2270"
"Djibouti","0.4760","1002.1870"
"Malawi","0.4770","19647.6840"
"Ivory Coast","0.4920","27053.6290"
"Haiti","0.4980","11541.6850"
"Afghanistan","0.4980","39835.4280"
"Sudan","0.5020","44909.3530"
"Comoros","0.5030","888.4510"
"Togo","0.5030","8478.2500"
"Senegal","0.5050","17196.3010"
"Benin","0.5150","12451.0400"
"Uganda","0.5160","47123.5310"
"Madagascar","0.5190","28427.3280"
"Lesotho","0.5200","2159.0790"
"Mauritania","0.5200","4775.1190"
"Rwanda","0.5240","13276.5130"
"Nigeria","0.5320","211400.7080"
"Zimbabwe","0.5350","15092.1710"
"Syria","0.5360","18275.7020"
"Tanzania","0.5380","61498.4370"
"Papua New Guinea","0.5440","9119.0100"
"Solomon Islands","0.5460","703.9960"
"Cameroon","0.5560","27224.2650"
"Pakistan","0.5620","225199.9370"
"Nepal","0.5740","29674.9200"
"Myanmar","0.5780","54806.0120"
"Angola","0.5810","33933.6100"
"Cambodia","0.5820","16946.4380"
"Eswatini","0.5880","1172.3620"
"Zambia","0.5880","18920.6510"
"Sao Tome and Principe","0.5890","223.3680"
"Kenya","0.5900","54985.6980"
"Equatorial Guinea","0.5910","1449.8960"
"Ghana","0.5920","31732.1290"
"Laos","0.6010","7379.3580"
"Vanuatu","0.6030","314.4640"
"Republic of the Congo","0.6060","5657.0130"
"Bangladesh","0.6080","166303.4980"
"Kiribati","0.6120","121.3920"
"Bhutan","0.6120","779.8980"
"Honduras","0.6170","10062.9910"
"Timor-Leste","0.6250","1343.8730"
"Micronesia","0.6270","116.2540"
"India","0.6400","1393409.0380"
"Namibia","0.6470","2587.3440"
"Tajikistan","0.6500","9749.6270"
"Guatemala","0.6500","18249.8600"
"Cape Verde","0.6540","561.8980"
"Guyana","0.6540","790.3260"
